GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,ISO.g,glottolog.language.y
adas1235,120.905,17.8187,0,,Adasen,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],tiu,Adasen [adas1235][tiu]
adel1244,0.619185,8.16975,0,,Adele,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ade,Adele [adel1244][ade]
adho1243,34.0341,0.73235,0,,Adhola,,S Africa,Africa,Africa,S Africa,0,0,Nilotic [nilo1247],adh,Adhola [adho1243][adh]
adio1239,-4.58,5.42,835,Adioukrou,Adioukrou,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],adj,Adioukrou [adio1239][adj]
adiv1239,83,18.33,2257,Oriya (Kotia),Adivasi Oriya,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],ort,Adivasi Oriya [adiv1239][ort]
adiw1235,73.1426,24.0712,0,,Adiwasi Garasia,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],gas,Adiwasi Garasia [adiw1235][gas]
adny1235,139.5,-30.5,837,Adynyamathanha,Adnyamathanha,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],adt,Adnyamathanha [adny1235][adt]
adon1237,123.159,-8.32027,0,,Adonara,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],adr,Adonara [adon1237][adr]
adug1238,6.13085,7.64567,0,,Aduge,,African Savannah,Africa,Africa,African Savannah,0,0,Bookkeeping [book1242],adu,Aduge [adug1238][adu]
adyg1241,40,45,1212,Adyghe (Temirgoy),Adyghe,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Abkhaz-Adyge [abkh1242],ady,Adyghe [adyg1241][ady]
adyg1241,38.9,44.9,1211,Adyghe (Shapsugh),Adyghe,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Abkhaz-Adyge [abkh1242],ady,Adyghe [adyg1241][ady]
adyg1241,40.3,44.5,1210,Adyghe (Abzakh),Adyghe,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Abkhaz-Adyge [abkh1242],ady,Adyghe [adyg1241][ady]
adyg1241,39.08,44.1,458,Circassian (West),Adyghe,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Abkhaz-Adyge [abkh1242],ady,Adyghe [adyg1241][ady]
adze1240,146.25,-6.25,955,Adzera,Adzera,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],adz,Adzera [adze1240][adz]
aeka1244,148.09,-8.79019,0,,Aeka (Orokaivan),,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],aez,Aeka {Orokaivan} [aeka1244][aez]
aeky1238,141.42,-5.75,947,Awin,Aekyom,,Interior New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,1,Awin-Pa [awin1249],awi,Aekyom [aeky1238][awi]
aerr1238,69.029,25.254,0,,Aer,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],aeq,Aer [aerr1238][aeq]
afad1236,15.33,11.33,819,Kotoko,Afade,,African Savannah,Africa,Africa,African Savannah,0,0,Afro-Asiatic [afro1255],aal,Afade [afad1236][aal]
afar1241,42,12,846,Qafar,Afar,,Greater Abyssinia,Africa,Africa,Greater Abyssinia,0,0,Afro-Asiatic [afro1255],aar,Afar [afar1241][aar]
afit1238,30.7611,12.446,0,,Afitti,,African Savannah,Africa,Africa,African Savannah,0,0,Nyimang [nyim1244],aft,Afitti [afit1238][aft]
