Language,ISO,Country
Watakatauwi,wtk,Papua New Guinea
Ayi,ayq,Papua New Guinea
Kalou,ywa,Papua New Guinea
Mehek,nux,Papua New Guinea
Pahi,lgt,Papua New Guinea
Pasi,psq,Papua New Guinea
Yessan-Mayo,yss,Papua New Guinea
Chenapian,cjn,Papua New Guinea
Wogamusin,wog,Papua New Guinea
Ak,akq,Papua New Guinea
Awun,aww,Papua New Guinea
Namia,nnm,Papua New Guinea
Yerakai,yra,Papua New Guinea
Krisa,ksi,Papua New Guinea
Puari,pux,Papua New Guinea
Rawo,rwa,Papua New Guinea
Skou,skv,Indonesia (Papua)
Vanimo ~ Dumo,vam,Papua New Guinea
Warapu,wra,Papua New Guinea
Wutung,wut,Papua New Guinea
Arandai,jbj,Indonesia (Papua)
Kaburi,uka,Indonesia (Papua)
Kais,kzm,Indonesia (Papua)
Kemberano,bzp,Indonesia (Papua)
Kokoda,xod,Indonesia (Papua)
Puragi,pru,Indonesia (Papua)
Tabo ~ Waya,knv,Papua New Guinea
Taiap ~ Gapun,gpn,Papua New Guinea
Tanahmerah,tcm,Indonesia (Papua)
Abom,aob,Papua New Guinea
Baramu,bmz,Papua New Guinea
Bitur,mcc,Papua New Guinea
Makayam,aup,Papua New Guinea
Were,wei,Papua New Guinea
Tofamna,tlg,Indonesia (Papua)
Berik (Tor),bkl,Indonesia (Papua)
?Betaf,bfe,Indonesia (Papua)
Bonerif,bnv,Indonesia (Papua)
Dabe,dbe,Indonesia (Papua)
Itik,itx,Indonesia (Papua)
Keder,kdy,Indonesia (Papua)
Kwesten,kwt,Indonesia (Papua)
Mander,mqr,Indonesia (Papua)
Maremgi,mrx,Indonesia (Papua)
Mawes,mgk,Indonesia (Papua)
Orya,ury,Indonesia (Papua)
Sause,sao,Indonesia (Papua)
Wares,wai,Indonesia (Papua)
Au,avt,Papua New Guinea
"One, Inebu",oin,Papua New Guinea
"One, Kabore",onk,Papua New Guinea
"One, Kwamtim",okk,Papua New Guinea
"One, Molmo",aun,Papua New Guinea
"One, Northern",onr,Papua New Guinea
"One, Southern",osu,Papua New Guinea
"Citak, Tamnim",tml,Indonesia (Papua)
Asmat (Central),cns,Indonesia (Papua)
Asmat (Casuarina Coast),asc,Indonesia (Papua)
Asmat (North),nks,Indonesia (Papua)
"Kamoro (Mimika, western)",kgq,Indonesia (Papua)
"Awyu, Central",awu,Indonesia (Papua)
"Awyu, Jair",awv,Indonesia (Papua)
"Awyu, South (Siagha-Yenimu)",aws,Indonesia (Papua)
Kombai,tyn,Indonesia (Papua)
Sawi,saw,Indonesia (Papua)
Tsakwambo,kvz,Indonesia (Papua)
Wanggom,wng,Indonesia (Papua)
Kaki Ae (?isolate),tbd,Papua New Guinea
Keuru,xeu,Papua New Guinea
Opao,opo,Papua New Guinea
Orokolo,oro,Papua New Guinea
Purari ~ Koriki,iar,Papua New Guinea
Tairuma,uar,Papua New Guinea
Toaripi,tqo,Papua New Guinea
Kuni-Boazi,kvg,Papua New Guinea
Marind,mrz,Indonesia (Papua)
"Marind, Bian",bpv,Indonesia (Papua)
Warkay-Bipim,bgv,Indonesia (Papua)
Yaqay,jaq,Indonesia (Papua)
Zimakani,zik,Papua New Guinea
Turumsa,tqm,Papua New Guinea
Usku,ulf,Indonesia (Papua)
Pei,ppq,Papua New Guinea
Tuwari,tww,Papua New Guinea
Walio,wla,Papua New Guinea
Yawiyo,ybx,Papua New Guinea
Wano,wno,Indonesia (Papua)
Yale ~ Nagatman,nce,Papua New Guinea
Biwat,bwm,Papua New Guinea
Bun,buv,Papua New Guinea
Changriwa,cga,Papua New Guinea
Kyenele ~ Miyak,kql,Papua New Guinea
Maramba,myd,Papua New Guinea
Mekmek,mvk,Papua New Guinea
Anindilyakwa,aoi,Australia
Giyug,giy,Australia
Wadjiginy,wdj,Australia
Bunaba,bck,Australia
Gooniyandi,gni,Australia
Kamu,xmu,Australia
Madngele,zml,Australia
Gagadu,gbu,Australia
Garawa,gbc,Australia
Erre,err,Australia
Mangerr,zme,Australia
Urningangg,urc,Australia
Djauan,djn,Australia
Gunwinggu,gup,Australia
Kunbarlang,wlg,Australia
Ngalakan,nig,Australia
Ngalkbun,ngk,Australia
Ngandi,nid,Australia
